caseId,from,to,timestamp,duration,location
NXS-001,SYN-PHONE-001,SYN-PHONE-110,2026-09-02T10:00:00Z,347,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-111,2026-09-02T10:10:00Z,77,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-112,2026-09-02T10:20:00Z,32,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-113,2026-09-02T10:30:00Z,160,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-114,2026-09-02T10:40:00Z,145,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-115,2026-09-02T10:50:00Z,134,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-116,2026-09-02T11:00:00Z,91,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-117,2026-09-02T11:10:00Z,72,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-118,2026-09-02T11:20:00Z,299,Navapur Sector 1
NXS-001,SYN-PHONE-001,SYN-PHONE-119,2026-09-02T11:30:00Z,64,Navapur Sector 1
NXS-002,SYN-PHONE-001,SYN-PHONE-120,2026-09-03T10:00:00Z,322,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-121,2026-09-03T10:10:00Z,236,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-122,2026-09-03T10:20:00Z,36,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-123,2026-09-03T10:30:00Z,35,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-124,2026-09-03T10:40:00Z,67,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-125,2026-09-03T10:50:00Z,131,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-126,2026-09-03T11:00:00Z,139,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-127,2026-09-03T11:10:00Z,278,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-128,2026-09-03T11:20:00Z,328,Navapur Sector 2
NXS-002,SYN-PHONE-001,SYN-PHONE-129,2026-09-03T11:30:00Z,33,Navapur Sector 2
NXS-003,SYN-PHONE-001,SYN-PHONE-130,2026-09-04T10:00:00Z,307,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-131,2026-09-04T10:10:00Z,121,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-132,2026-09-04T10:20:00Z,352,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-133,2026-09-04T10:30:00Z,299,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-134,2026-09-04T10:40:00Z,234,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-135,2026-09-04T10:50:00Z,132,Navapur Sector 3
NXS-003,SYN-PHONE-001,SYN-PHONE-136,2026-09-04T11:00:00Z,249,Navapur Sector 3
