caseId,from,to,timestamp,amount
NXS-001,SYN-ACCOUNT-110,SYN-ACCOUNT-001,2026-09-02T12:00:00Z,1000
NXS-001,SYN-ACCOUNT-111,SYN-ACCOUNT-001,2026-09-02T12:01:00Z,1250
NXS-001,SYN-ACCOUNT-112,SYN-ACCOUNT-001,2026-09-02T12:02:00Z,1500
NXS-001,SYN-ACCOUNT-113,SYN-ACCOUNT-001,2026-09-02T12:03:00Z,1750
NXS-001,SYN-ACCOUNT-114,SYN-ACCOUNT-001,2026-09-02T12:04:00Z,2000
NXS-001,SYN-ACCOUNT-115,SYN-ACCOUNT-001,2026-09-02T12:05:00Z,2250
NXS-001,SYN-ACCOUNT-116,SYN-ACCOUNT-001,2026-09-02T12:06:00Z,2500
NXS-001,SYN-ACCOUNT-117,SYN-ACCOUNT-001,2026-09-02T12:07:00Z,2750
NXS-002,SYN-ACCOUNT-120,SYN-ACCOUNT-001,2026-09-03T12:00:00Z,1000
NXS-002,SYN-ACCOUNT-121,SYN-ACCOUNT-001,2026-09-03T12:01:00Z,1250
NXS-002,SYN-ACCOUNT-122,SYN-ACCOUNT-001,2026-09-03T12:02:00Z,1500
NXS-002,SYN-ACCOUNT-123,SYN-ACCOUNT-001,2026-09-03T12:03:00Z,1750
NXS-002,SYN-ACCOUNT-124,SYN-ACCOUNT-001,2026-09-03T12:04:00Z,2000
NXS-002,SYN-ACCOUNT-125,SYN-ACCOUNT-001,2026-09-03T12:05:00Z,2250
NXS-002,SYN-ACCOUNT-126,SYN-ACCOUNT-001,2026-09-03T12:06:00Z,2500
NXS-002,SYN-ACCOUNT-127,SYN-ACCOUNT-001,2026-09-03T12:07:00Z,2750
NXS-003,SYN-ACCOUNT-130,SYN-ACCOUNT-001,2026-09-04T12:00:00Z,1000
NXS-003,SYN-ACCOUNT-131,SYN-ACCOUNT-001,2026-09-04T12:01:00Z,1250
NXS-003,SYN-ACCOUNT-132,SYN-ACCOUNT-001,2026-09-04T12:02:00Z,1500
NXS-003,SYN-ACCOUNT-133,SYN-ACCOUNT-001,2026-09-04T12:03:00Z,1750
NXS-003,SYN-ACCOUNT-134,SYN-ACCOUNT-001,2026-09-04T12:04:00Z,2000
NXS-003,SYN-ACCOUNT-135,SYN-ACCOUNT-001,2026-09-04T12:05:00Z,2250
NXS-003,SYN-ACCOUNT-136,SYN-ACCOUNT-001,2026-09-04T12:06:00Z,2500
NXS-003,SYN-ACCOUNT-137,SYN-ACCOUNT-001,2026-09-04T12:07:00Z,2750
NXS-004,SYN-ACCOUNT-140,SYN-ACCOUNT-004,2026-09-05T12:00:00Z,1000
NXS-004,SYN-ACCOUNT-141,SYN-ACCOUNT-004,2026-09-05T12:01:00Z,1250
NXS-004,SYN-ACCOUNT-142,SYN-ACCOUNT-004,2026-09-05T12:02:00Z,1500
NXS-004,SYN-ACCOUNT-143,SYN-ACCOUNT-004,2026-09-05T12:03:00Z,1750
NXS-004,SYN-ACCOUNT-144,SYN-ACCOUNT-004,2026-09-05T12:04:00Z,2000
NXS-004,SYN-ACCOUNT-145,SYN-ACCOUNT-004,2026-09-05T12:05:00Z,2250
NXS-004,SYN-ACCOUNT-146,SYN-ACCOUNT-004,2026-09-05T12:06:00Z,2500
NXS-004,SYN-ACCOUNT-147,SYN-ACCOUNT-004,2026-09-05T12:07:00Z,2750
NXS-005,SYN-ACCOUNT-150,SYN-ACCOUNT-005,2026-09-06T12:00:00Z,1000
NXS-005,SYN-ACCOUNT-151,SYN-ACCOUNT-005,2026-09-06T12:01:00Z,1250
NXS-005,SYN-ACCOUNT-152,SYN-ACCOUNT-005,2026-09-06T12:02:00Z,1500
NXS-005,SYN-ACCOUNT-153,SYN-ACCOUNT-005,2026-09-06T12:03:00Z,1750
NXS-005,SYN-ACCOUNT-154,SYN-ACCOUNT-005,2026-09-06T12:04:00Z,2000
NXS-005,SYN-ACCOUNT-155,SYN-ACCOUNT-005,2026-09-06T12:05:00Z,2250
NXS-005,SYN-ACCOUNT-156,SYN-ACCOUNT-005,2026-09-06T12:06:00Z,2500
NXS-005,SYN-ACCOUNT-157,SYN-ACCOUNT-005,2026-09-06T12:07:00Z,2750
NXS-006,SYN-ACCOUNT-160,SYN-ACCOUNT-006,2026-09-07T12:00:00Z,1000
NXS-006,SYN-ACCOUNT-161,SYN-ACCOUNT-006,2026-09-07T12:01:00Z,1250
NXS-006,SYN-ACCOUNT-162,SYN-ACCOUNT-006,2026-09-07T12:02:00Z,1500
NXS-006,SYN-ACCOUNT-163,SYN-ACCOUNT-006,2026-09-07T12:03:00Z,1750
NXS-006,SYN-ACCOUNT-164,SYN-ACCOUNT-006,2026-09-07T12:04:00Z,2000
NXS-006,SYN-ACCOUNT-165,SYN-ACCOUNT-006,2026-09-07T12:05:00Z,2250
NXS-006,SYN-ACCOUNT-166,SYN-ACCOUNT-006,2026-09-07T12:06:00Z,2500
NXS-006,SYN-ACCOUNT-167,SYN-ACCOUNT-006,2026-09-07T12:07:00Z,2750
NXS-001,SYN-ACCOUNT-001,SYN-ACCOUNT-900,2026-09-02T12:10:00Z,3000
NXS-001,SYN-ACCOUNT-001,SYN-ACCOUNT-900,2026-09-02T12:11:00Z,3000
NXS-001,SYN-ACCOUNT-001,SYN-ACCOUNT-900,2026-09-02T12:12:00Z,3000
